"2014-01-26", "MailChimp.com", "Director of User Experience", "Privately Held; 201-500 employees; Information Technology and Services industry", "aarron", "2008-01-01", "j", "I manage a team of talented folks in the UX department who are in charge of application design and research. As the lead I also do user research, play a key role in conceptualizing features, wireframe interfaces, create HTML prototypes for testing, design comps, and do front-end development to implement design concepts. I collaborate with the development team on new features and product revisions.",
"2010-12-01", "The Web Standards Project -WaSP", "WaSP InterACT Curriculum Project Lead", "", "aarron", "2008-01-01", "j", "I am a core member of The Web Standards Project, and the former lead of the WaSP InterACT curriculum - an open curriculum that seeks to improve the quality of web education in high schools and colleges. This curriculum was designed and authored by top industry experts and veteran educators, and is being used by schools around the world. http://interact.webstandards.org",
"2008-01-01", "The Art Institute of Atlanta", "Interactive Media Design Professor", "Educational Institution; 10,001+ employees; Education Management industry", "aarron", "2001-01-01", "j", "I taught a wide range of design and technology courses from introductory to advanced levels. Courses included Perceptual Interfacing, Interface Design, Dynamic Web Applications, History of Communication Media, and foundation web design courses. In 2004 I lead a 2 week study abroad program to Berlin, Helsinki, and Stockholm that introduced students to cutting edge mobile technologies at Nokia, Sony Ericsson and other companies and research institutions. In 2006 I lead a summer abroad program in Berlin on which I taught students about nonlinear-narrative and history of communication media with many excursions to the sites discussed in the courses. While at AiA, I also collaborated with my colleagues to develop the department curriculum. I developed a Course Management System called ClassBot that was used to deliver course material for all Interactive Media Design courses.",
"2008-01-01", "Aarron Walter Interactive Design", "Interactive Design Consultant", "", "aarron", "2000-01-01", "j", "For 8 years I ran a 1 man design consultancy. As the sole proprietor I handled all planning, designing, and development of web projects.",
"2004", "EO Studios", "Consultant", "", "aarron", "2003", "j", "- Developed Computer-Based Training CD-ROMs (built with Director, and Flash) - Developed dynamic, standards-compliant websites - Project planning consultation",
"2002-05-01", "University of Georgia", "Adjunct Faculty, Graphic Design", "Educational Institution; 10,001+ employees; Higher Education industry", "aarron", "2002-01-01", "j", "Developed and taught a course for the Graphic Design department covering core web design concepts.",
"2000-05-01", "Tyler School of Art: Temple University", "Adjunct Faculty, Painting and Drawing", "", "aarron", "1999-08-01", "j", "Taught interactive design course to graduate studio artists exploring digital media in the traditional arts.",
"2000", "Peec Labs", "Web Designer", "", "aarron", "1999", "j", "Designed and developed websites and interactive CD-ROMs for clients including Barnes and Noble, David Bowie, and Hewlett Packard.",
"", "Temple University", "MFA", "Painting", "aarron", "", "e", "",
"", "University of Iowa", "BFA", "Painting", "aarron", "", "e", "",
"2014-01-26", "Viralheat", "Senior Software Engineer", "Privately Held; 11-50 employees; Marketing and Advertising industry", "abdulasim", "2013-12-01", "j", "Was part of a team in charge of building an intranet for the company. Worked on the ASP.NET MVC 2/C# framework. Used LINQ to Entities for database calls. Some example modules - Active Directory integration, document explorer, CMS.",
